413.80434782608694,228.3695652173913,9,8,8,0,1,11,16,13,14,-30.415424,-0.2959024999947395,-0.26302444443976847
294.7741935483871,388.56451612903226,5,11,12,1,2,12,20,21,15,34.152965,0.146,0.351
236.0,248.5,0,1,3,2,1,3,2,6,5,5.834,0.0,0.514
377.59055118110234,419.48818897637796,21,51,63,12,4,45,48,71,41,143.797,0.146,0.438
386.4579831932773,373.7857142857143,26,65,71,6,5,65,60,89,51,118.637,0.219,0.598
350.5521978021978,447.88186813186815,29,157,181,24,8,136,79,197,69,183.972,0.158,0.984
471.30645161290323,360.6774193548387,3,3,3,0,2,9,8,13,13,216.837,0.014,0.014
364.5466666666667,309.66,16,59,67,8,4,46,52,79,36,303.412,0.053,0.221
347.6923076923077,387.8956043956044,17,74,89,15,4,63,28,94,37,396.606,0.043,0.224
415.3454545454546,344.3454545454546,10,15,17,2,3,23,23,30,25,459.435,0.022,0.037
336.9375,289.5625,3,4,5,1,1,5,2,9,8,15.263,0.197,0.328
